title,url,domain
"Tech conferences 2025 / 2026 - dev.events",https://dev.events/tech,dev.events
"Tech conferences in San Francisco 2025 / 2026 - dev.events",https://dev.events/NA/US/CA/San_Francisco/tech,dev.events
"Serve and Return: Back-and-forth exchanges",https://developingchild.harvard.edu/key-concept/serve-and-return/,developingchild.harvard.edu
"Movie Screenings - DoTheBay",https://dothebay.com/moviescreenings,dothebay.com
"Music in The Bay Area Today - DoTheBay",https://dothebay.com/events/music/today,dothebay.com
"Sundown Cinema - DoTheBay",https://dothebay.com/sundowncinema,dothebay.com
"San Francisco Bay Area - Alamo Drafthouse Cinema",https://drafthouse.com/sf?srsltid=AfmBOooJp4YydXcyKeWUQz_JFd6O9tpCfBFktAYQtcEPB5Y5NLOmAkRA,drafthouse.com
"Talks - The Levin Lab",https://drmichaellevin.org/presentations/,drmichaellevin.org
"TED-Ed - TED Talks",https://ed.ted.com/,ed.ted.com
"EUV: Lithography: History, Latest Results, Technology Roadmap - EECS at Berkeley",https://eecs.berkeley.edu/research/colloquium/euv-lithography-history-latest-results-technology-roadmap/,eecs.berkeley.edu
"Qinghua Ding wins IEEE Jack Keil Wolf ISIT Student Paper Award - EECS at Berkeley",https://eecs.berkeley.edu/news/qinghua-ding-wins-ieee-jack-keil-wolf-isit-student-paper-award/,eecs.berkeley.edu
"Business networking - Wikipedia",https://en.wikipedia.org/wiki/Business_networking,en.wikipedia.org
"Category:Broadway plays - Wikipedia",https://en.wikipedia.org/wiki/Category:Broadway_plays,en.wikipedia.org
"Film screening - Wikipedia",https://en.wikipedia.org/wiki/Film_screening,en.wikipedia.org
"Play (theatre) - Wikipedia",https://en.wikipedia.org/wiki/Play_(theatre),en.wikipedia.org
"Academic / Events at UC Berkeley",https://events.berkeley.edu/events/week/categories/Academic,events.berkeley.edu
"Becoming Ottoman and White: Race, Gender, and Nation-Building in the Armenian American and Syrian American Diasporas",https://events.berkeley.edu/armenian/event/303323-becoming-ottoman-and-white-race-gender-and,events.berkeley.edu
"Bridging the Gap Seminar: Targeting Cell Therapies to the Brain",https://events.berkeley.edu/event/303565-bridging-the-gap-seminar-targeting-cell-therapies,events.berkeley.edu
"Demography Brown Bag Seminar with Nathan Lo: “Modeling Re-emergence of Vaccine-Eliminated Infectious Diseases Under Declining Vaccination in the ...",https://events.berkeley.edu/live/events/301452-demography-brown-bag-seminar-with-nathan-lo,events.berkeley.edu
"ERG Colloquium Series Fall 2025: TBA",https://events.berkeley.edu/event/301359-erg-colloquium-series-fall-2025-tba,events.berkeley.edu
"Exhibits / Events at UC Berkeley",https://events.berkeley.edu/events/week/categories/Exhibits,events.berkeley.edu
"Films / Events at UC Berkeley",https://events.berkeley.edu/events/week/categories//Films,events.berkeley.edu
"Films / Events at UC Berkeley",https://events.berkeley.edu/events/week/categories/Films,events.berkeley.edu
"Lectures / Events at UC Berkeley",https://events.berkeley.edu/events/week/categories/Lectures,events.berkeley.edu
"Matrix on Point: Conspiracy Theories",https://events.berkeley.edu/ssm/event/302988-matrix-on-point-conspiracy-theories,events.berkeley.edu
"Matrix on Point: Spaces for Thriving",https://events.berkeley.edu/ssm/event/302989-matrix-on-point-spaces-for-thriving,events.berkeley.edu
"Music - UC Berkeley Events",https://events.berkeley.edu/music/,events.berkeley.edu
"4th Annual Trust and Safety Research Conference",https://events.stanford.edu/event/4th-annual-trust-and-safety-research-conference,events.stanford.edu
"African Modernism at the Limits: The Black-Caribbean School, Vohou-Vohou, and Basquiat in Côte d’Ivoire",https://events.stanford.edu/event/african-modernism-at-the-limits-the-black-caribbean-school-vohou-vohou-and-basquiat-in-cote-divoire,events.stanford.edu
"Big Ideas in Medicine Conference: An exploration of the future of healthcare",https://events.stanford.edu/event/big-ideas-in-medicine-conference-an-exploration-of-the-future-of-healthcare,events.stanford.edu
"Bionic Ears: Cochlear Implants and the Future of Assistive Technology",https://events.stanford.edu/event/bionic-ears-cochlear-implants-and-the-future-of-assistive-technology,events.stanford.edu
"CBD 2025: Interactive Mindful Breathing Inside the K12 Classroom: Improving Focus and Reducing Stress for Teachers and Students with Peter Mills",https://events.stanford.edu/event/cbd-2025-interactive-mindful-breathing-inside-the-k12-classroom-with-peter-mills,events.stanford.edu
"CBD 2025: Mindful Parenting in a Changing World: Nurturing Connection, Creativity, and Independence in our Children and Ourselves with Will Kabat-Zinn and Teresa LaMendola Kabat-Zinn",https://events.stanford.edu/event/cbd-2025-mindful-parenting-in-a-changing-world-with-Will-Kabat-Zinn-and-Teresa-LaMendola-Kabat-Zinn,events.stanford.edu
"Center for International Security and Cooperation (CISAC)",https://events.stanford.edu/department/cisac,events.stanford.edu
"Center for International Security and Cooperation (CISAC) Events",https://events.stanford.edu/department/cisac/calendar,events.stanford.edu
"Events",https://events.stanford.edu/calendar/day/2025/9/11,events.stanford.edu
"Events",https://events.stanford.edu/calendar/day/2025/11/12,events.stanford.edu
"Events Calendar - Stanford University",https://events.stanford.edu/,events.stanford.edu
"Every Taco Everywhere All At Once",https://events.stanford.edu/event/every-taco-everywhere-all-at-once,events.stanford.edu
"EVN Talks: Small State, Strategic Breakthrough: Armenia’s Search for Security, From Big Tech to Geopolitical Reshuffling",https://events.stanford.edu/event/evn-talks-understanding-armenias-future-public-conversations-on-security-foreign-relations-technology-resilience-5048,events.stanford.edu
"Microbiology & Immunology Wednesday Seminar - Falkow/Tompkins Lectureship: Gordon Dougan, ""TBD""",https://events.stanford.edu/event/microbiology-immunology-wednesday-seminar-falkowtompkins-lectureship-gordon-dougan-tbd,events.stanford.edu
"Office of the Vice Provost for Graduate Education",https://events.stanford.edu/department/StanfordVPGE,events.stanford.edu
"SGSI 2025: Energy@Stanford & SLAC",https://events.stanford.edu/event/sgsi-2025-energystanford-slac,events.stanford.edu
"SGSI 2025: Jumpstart Your Academic Job Search",https://events.stanford.edu/event/sgsi-2025-jumpstart-your-academic-job-search,events.stanford.edu
"SGSI 2025: Publishing in the Humanities and Humanistic Social Sciences",https://events.stanford.edu/event/sgsi-2025-humanities-and-humanistic-social-sciences,events.stanford.edu
"Stanford Bulletin published with academic year 2025-2026 degree requirements and course offerings",https://events.stanford.edu/event/stanford-bulletin-published-with-academic-year-2025-2026-degree-requirements-and-course-offerings,events.stanford.edu
"Stanford Bulletin published with academic year 2025-26 degree requirements and course offerings.",https://events.stanford.edu/event/stanford-bulletin-published-with-academic-year-2025-26-degree-requirements-and-course-offerings,events.stanford.edu
"Stanford Cancer Institute Breakthroughs in Cancer: Clonal Hematopoiesis and the Origins of Cancer",https://events.stanford.edu/event/stanford-cancer-institute-breakthroughs-in-cancer-with-benjamin-l-ebert-md-phd,events.stanford.edu
"Stanford Center on Longevity Events",https://events.stanford.edu/department/stanford_center_on_longevity/calendar,events.stanford.edu
"Stanford Complexity Group Events",https://events.stanford.edu/department/stanford_complexity_group/calendar,events.stanford.edu
"Stanford Psychiatry and Behavioral Sciences Events",https://events.stanford.edu/department/stanford_psychiatry_and_behavioral_sciences/calendar,events.stanford.edu
"Student & Academic Services",https://events.stanford.edu/department/student_and_academic_services,events.stanford.edu
"Exhibitions - Asian Art Museum - San Francisco",https://exhibitions.asianart.org/,exhibitions.asianart.org
"[PDF] How to Give an Academic Talk: Changing the Culture of Public ...",https://faculty.washington.edu/kate1/ewExternalFiles/howtotalk.pdf,faculty.washington.edu
"Roseville Greek Food Festival",https://festival.saintanna.org/,festival.saintanna.org
"Food Festival in San Jose, CA | June 27-29, 2025 - FoodieLand",https://foodielandnm.com/events/san-jose/,foodielandnm.com
"Foodwise Summer Bash",https://foodwise.org/events/foodwise-summer-bash/,foodwise.org
"Foreign Cinema - San Francisco",https://foreigncinema.com/,foreigncinema.com
"Annual Black Food Festival returns to Sacramento for 6th year",https://fox40.com/news/annual-black-food-festival-returns-to-sacramento-for-6th-year/,fox40.com
"Gofobo | Movie Screenings, Movie Reviews, Sweepstakes, Movie ...",https://gofobo.com/,gofobo.com
"Top Tech Conferences to Attend in 2024-2025",https://graduate.northeastern.edu/knowledge-hub/2019-tech-conferences/,graduate.northeastern.edu
"Book Club - Berkeley Haas",https://haas.berkeley.edu/responsible-business/for-students/book-club/,haas.berkeley.edu
"Chicago Alumni: Boat Cruise with Chicago MBA Alumni - Berkeley Haas",https://haas.berkeley.edu/event/chicago-alumni-boat-cruise-with-chicago-mba-alumni/,haas.berkeley.edu
"Diversity Conferences - Berkeley Haas",https://haas.berkeley.edu/cmg/diversity-resources/diversity-conferences/,haas.berkeley.edu
"East Bay Alumni: Alameda Ferry to SF City Hike - Berkeley Haas",https://haas.berkeley.edu/event/east-bay-alumni-alameda-ferry-to-sf-city-hike/,haas.berkeley.edu
"Global Network for Advanced Management (online and international courses) - Berkeley Haas",https://haas.berkeley.edu/ewmba/academics/gnam/,haas.berkeley.edu
"IBD Travel Blog: Parla Italiano? - Berkeley Haas",https://haas.berkeley.edu/international-business-development/blog/posts/travel-blog-parla-italiano/,haas.berkeley.edu
"Publications - Berkeley Haas",https://haas.berkeley.edu/ibi/research/publications/,haas.berkeley.edu
"Recruiting - Berkeley Haas",https://haas.berkeley.edu/cmg/recruiting/,haas.berkeley.edu
"San Francisco Alumni: Bay Area Haas Alumni 2025 Open Golf Tournament + BBQ Reception - Berkeley Haas",https://haas.berkeley.edu/event/san-francisco-alumni-2025-baha-open-golf-tournament-save-the-date/,haas.berkeley.edu
"Welcome to ACE (Academic & Career Essentials) - Berkeley Haas",https://haas.berkeley.edu/mba/welcome-to-ace-academic-career-essentials/,haas.berkeley.edu
"Welcome to WeLaunch 2025 - Berkeley Haas",https://haas.berkeley.edu/mba/welcome-to-welaunch-2025/,haas.berkeley.edu
"Common Crawl Foundation | Preserving Humanity's Knowledge and Making it Accessible: Addressing Challenges of Public Web Data | Stanford HAI",https://hai.stanford.edu/events/common-crawl-foundation-preserving-humanitys-knowledge-and-making-it-accessible-addressing-challenges-of-public-web-data,hai.stanford.edu
"Generative AI | Stanford HAI",https://hai.stanford.edu/topics/generative-ai,hai.stanford.edu
"Labeling AI-Generated Content May Not Change Its Persuasiveness | Stanford HAI",https://hai.stanford.edu/policy/labeling-ai-generated-content-may-not-change-its-persuasiveness,hai.stanford.edu
"Melissa Valentine and Michael Bernstein | Flash Teams:  Leading the Future of AI-Enhanced, On-Demand Work | Stanford HAI",https://hai.stanford.edu/events/melissa-valentine-flash-teams-leading-the-future-of-ai-enhanced-on-demand-work,hai.stanford.edu
"Stanford HAI 2025 Congressional Boot Camp on Artificial Intelligence | Stanford HAI",https://hai.stanford.edu/events/2025-congressional-boot-camp-on-ai,hai.stanford.edu
"Learn to Love Networking - Harvard Business Review",https://hbr.org/2016/05/learn-to-love-networking,hbr.org
"Talking with Families About Their Child's Development | HeadStart.gov",https://headstart.gov/publication/talking-families-about-their-childs-development,headstart.gov
"Eldridge Plays and Musicals",https://histage.com/,histage.com
"AI Lightning Talks | Information Technology Services",https://its.uiowa.edu/ai-talks,its.uiowa.edu
"The Lawrence Hall of Science – The public science center of the ...",https://lawrencehallofscience.org/,lawrencehallofscience.org
"10 tips on how to give an academic talk - Matt Might",https://matt.might.net/articles/academic-presentation-tips/,matt.might.net
"Screenings & Series – Museum of the Moving Image",https://movingimage.org/whats-on/screenings-and-series/,movingimage.org
"Current Exhibitions - Cantor Arts Center at Stanford University",https://museum.stanford.edu/exhibitions,museum.stanford.edu
"Exhibitions & Galleries - Oakland Museum of California (OMCA)",https://museumca.org/on-view/,museumca.org
"Homepage - Oakland Museum of California (OMCA)",https://museumca.org/,museumca.org
"Oakland Art Murmur",https://oaklandartmurmur.org/,oaklandartmurmur.org
"Ten simple rules for giving an effective academic job talk",https://ocs.yale.edu/resources/ten-simple-rules-for-giving-an-effective-academic-job-talk/,ocs.yale.edu
"Open Education Talks",https://oetalks.opened.ca/,oetalks.opened.ca
"Concert Tickets & Tour Dates for you | Spotify",https://open.spotify.com/concerts,open.spotify.com
"Concert Tickets & Tour Dates for you in Berkeley | Spotify",https://open.spotify.com/concerts/location/5327684-Berkeley-CA-US,open.spotify.com
"Concert Tickets & Tour Dates for you in Oakland - Spotify",https://open.spotify.com/concerts/location/5378538-Oakland-CA-US,open.spotify.com
"Concert Tickets & Tour Dates for you in San Francisco | Spotify",https://open.spotify.com/concerts/location/5391959-San-Francisco-CA-US,open.spotify.com
"Giving an Academic Talk - People @EECS",https://people.eecs.berkeley.edu/~jrs/speaking.html,people.eecs.berkeley.edu
"Android Apps on Google Play",https://play.google.com/store/games?hl=en_US,play.google.com
"Playbill: Broadway, Off-Broadway, London News, Listings and Tickets",https://playbill.com/,playbill.com
"[PDF] How to Give an Academic Talk, v5.2 - Paul N. Edwards",https://pne.people.si.umich.edu/PDF/howtotalk.pdf,pne.people.si.umich.edu
"Talking Child Development - Apple Podcasts",https://podcasts.apple.com/us/podcast/talking-child-development/id1570193097,podcasts.apple.com
"11 Small business networking groups every business owner should ...",https://quickbooks.intuit.com/r/running-a-business/small-business-networking-groups/,quickbooks.intuit.com
"Rialto Cinemas Elmwood・ Berkeley, CA",https://rialtocinemas.com/elmwood/,rialtocinemas.com
"A Better Tomorrow (英雄本色)",https://roxie.com/film/a-better-tomorrow/,roxie.com
"A Chinese Ghost Story",https://roxie.com/film/a-chinese-ghost-story/,roxie.com
"Almost Midnights: Liquid Sky",https://roxie.com/film/almost-midnights-liquid-sky/,roxie.com
"And the Roots of Rhythm Remain with Joe Boyd",https://roxie.com/film/and-the-roots-of-rhythm-remain-w-joe-boyd/,roxie.com
"Don Hertzfeldt’s Animation Mixtape",https://roxie.com/film/don-hertzfeldts-animation-mixtape/,roxie.com
"Drugs in the Tenderloin",https://roxie.com/film/drugs-in-the-tenderloin/,roxie.com
"Fleischer Fairy Tales",https://roxie.com/film/fleischer-fairy-tales/,roxie.com
"Folktales",https://roxie.com/film/folktales/,roxie.com
"Hard Boiled",https://roxie.com/film/hard-boiled/,roxie.com
"High and Low",https://roxie.com/film/high-and-low/,roxie.com
"Ikiru",https://roxie.com/film/ikiru/,roxie.com
"La Nana (The Maid)",https://roxie.com/film/la-nana-the-maid/,roxie.com
"Linda Linda Linda",https://roxie.com/film/linda-linda-linda/,roxie.com
"Masayuki Suo’s Shall We Dance?",https://roxie.com/film/masayuki-suos-shall-we-dance/,roxie.com
"Megadoc",https://roxie.com/film/megadoc/,roxie.com
"Peking Opera Blues (刀馬旦)",https://roxie.com/film/peking-opera-blues/,roxie.com
"Roxie - San Francisco's historic, nonprofit cinema.",https://roxie.com/,roxie.com
"San Francisco Film Preserve: Black Lightning",https://roxie.com/film/sf-film-preserve-black-lightning/,roxie.com
"Sanatorium Under the Sign of the Hourglass",https://roxie.com/film/sanatorium-under-the-sign-of-the-hourglass/,roxie.com
"SF Lost Neon Landscapes",https://roxie.com/film/sf-lost-neon-landscapes/,roxie.com
"Spirited Away",https://roxie.com/film/roxie-kids-spirited-away/,roxie.com
"Stray Dog",https://roxie.com/film/stray-dog/,roxie.com
"Studio 8 Film Festival",https://roxie.com/film/studio-8-film-festival/,roxie.com
"Taxi zum Klo",https://roxie.com/film/taxi-zum-klo/,roxie.com
"The Devil and Daniel Johnston on 35mm",https://roxie.com/film/the-devil-and-daniel-johnston/,roxie.com
"The Popcorn List: If That Mockingbird Don’t Sing",https://roxie.com/film/the-popcorn-list-if-that-mockingbird-dont-sing/,roxie.com
"Sundown Cinema - San Francisco Parks Alliance",https://sanfranciscoparksalliance.org/our-work/programs-events/sundown-cinema/,sanfranciscoparksalliance.org
"Oakland Concert Tickets 2025 - SeatGeek",https://seatgeek.com/cities/oakland/concerts,seatgeek.com
"10 Best Museum Exhibits To See This Fall In San Francisco",https://secretsanfrancisco.com/current-upcoming-exhibitions-sf/,secretsanfrancisco.com
"Sundown Cinema Free Movie Screenings Have Been Canceled",https://secretsanfrancisco.com/sundown-cinema-sf/,secretsanfrancisco.com
"Live Music Events | San Francisco - Funcheap",https://sf.funcheap.com/category/event/event-types/live-music-event/,sf.funcheap.com
"SFFILM - The Bay Area's home for the world's finest ... - San Francisco",https://sffilm.org/,sffilm.org
"food festivals - San Francisco News, Restaurants, Events, & Sports",https://sfist.com/food-festivals/,sfist.com
"Shows – Shotgun Players",https://shotgunplayers.org/shows/,shotgunplayers.org
"Sunday in the Park with George – Shotgun Players",https://shotgunplayers.org/show/sunday/,shotgunplayers.org
"The Magnolia Ballet – Shotgun Players",https://shotgunplayers.org/show/magnolia/,shotgunplayers.org
"The Motion – Shotgun Players",https://shotgunplayers.org/show/the-motion/,shotgunplayers.org
"On View | San José Museum of Art",https://sjmusart.org/exhibitions-on-view,sjmusart.org
"20 Best Tech Conferences in Europe in 2025 - SoftwareMill",https://softwaremill.com/20-best-tech-conferences-in-europe-in-2025/,softwaremill.com
"Popular Plays - StageAgent",https://stageagent.com/plays/popular,stageagent.com
"10th Annual Crunchies Awards - News",https://techcrunch.com/events/10th-annual-crunchies-awards/news/,techcrunch.com
"3 days left to lock in your exhibit table at TechCrunch Disrupt 2025",https://techcrunch.com/2025/09/03/3-days-left-to-lock-in-your-table-at-techcrunch-disrupt-2025/,techcrunch.com
"AI hires or human hustle? Inside the next frontier of startup operations at TechCrunch Disrupt 2025",https://techcrunch.com/2025/08/28/ai-hires-or-human-hustle-inside-the-next-frontier-of-startup-operations-at-techcrunch-disrupt-2025/,techcrunch.com
"Astro Teller, ‘Captain of Moonshots,’ joins TechCrunch Disrupt 2025 this October",https://techcrunch.com/2025/09/02/astro-teller-is-joining-us-at-techcrunch-disrupt-2025-in-october/,techcrunch.com
"August 2025 | Page 2 of 15 | TechCrunch",https://techcrunch.com/2025/08/page/2/,techcrunch.com
"August 2025 | Page 3 of 15 | TechCrunch",https://techcrunch.com/2025/08/0/page/3/,techcrunch.com
